,sell_price,rent_price,net_area,gross_area,effi_ratio,layout,orit,upd_dt,ttl_flt,prop_val,rpy_prd,inc_reqr,addr,latitude,longitude
8197,6.95,,350.0,550.0,64.0,1.0,,2019-04-27,90.0,6950000.0,30,38918.0,,22.2793278,
8198,4.84,,364.0,563.0,65.0,2.0,East,2019-05-08,2830.0,4850000.0,30,27159.0, 100 CASTLE PEAK ROAD TSING LUNG TAU,22.36562,114.0571428
8199,120.0,,2786.0,3300.0,84.0,4.0,Southwest,2019-04-12,21.0,120000000.0,30,559971.0,,22.2793278,
8200,35.0,,1407.0,1650.0,85.0,2.0,East,2019-05-12,161.0,35000000.0,30,163325.0," 144-158 TIN HAU TEMPLE ROAD, 77 CLOUD VIEW ROAD",,
8201,22.0,,802.0,1116.0,72.0,3.0,Southeast,2019-05-16,988.0,22000000.0,30,102661.0, 188 CANTON ROAD,22.321643899999998,114.1666295
8202,9.8,,739.0,,,,,2019-05-18,872.0,9800000.0,30,46664.0, 6 SHEK KOK ROAD,22.297832999999997,114.273333947194
8203,8.5,,728.0,846.0,86.0,,,2019-05-20,2296.0,8500000.0,30,46664.0, 620 CASTLE PEAK ROAD TSUEN WAN,22.3703685,114.1224221
8204,8.19,,880.0,1096.0,80.0,3.0,,2019-05-08,376.0,8200000.0,30,45918.0, 2 SIU LAM TSUEN ROAD,22.367411999999998,114.0114344
8205,5.0,,362.0,486.0,74.0,,,2019-05-20,1576.0,5000000.0,30,27999.0, 8 FUK HANG TSUEN ROAD,22.4163223,113.9901001
8206,40.0,,1801.0,1966.0,92.0,4.0,,2019-05-11,100.0,40000000.0,30,186657.0, 2 BRAEMAR HILL ROAD,22.283115300000002,114.1989649
8207,4.0,,219.0,,,,,2019-03-05,170.0,4000000.0,30,22399.0, 65-89 TAN KWAI TSUEN ROAD,22.4330013,113.9968051
8208,30.0,,883.0,,,3.0,,2019-05-20,119.0,30000000.0,30,139993.0, 3 GORDON ROAD,22.2854475,114.1907255
8209,10.0,,442.0,606.0,73.0,2.0,South,2019-05-15,104.0,10000000.0,30,46664.0, 18 FUK CHAK STREET,22.320300699999997,114.1619575
8210,8.5,,792.0,1136.0,70.0,3.0,,2019-04-17,1182.0,8500000.0,30,46664.0, 100 CASTLE PEAK ROAD TSING LUNG TAU,22.36562,114.0571428
8211,9.9,,511.0,670.0,76.0,2.0,Southeast,2019-05-18,1040.0,9900000.0,30,46664.0, 3 AP LEI CHAU DRIVE,22.2434046,114.1575918
8212,29.8,,750.0,1026.0,73.0,,,2019-04-23,1122.0,29800000.0,30,139060.0, 1 AUSTIN ROAD WEST,22.3031647,114.1602124
8213,12.0,,546.0,742.0,74.0,2.0,Southeast,2019-05-20,1829.0,12000000.0,30,55997.0, 8 HOI FAI ROAD,22.3217806,114.1576887
8214,6.5,,521.0,680.0,77.0,2.0,Northeast,2019-03-20,808.0,6500000.0,30,36398.0, 1 SHEK PAI TAU PATH,22.4006151,113.974089877564
8215,4.8,,293.0,,,,,2019-05-18,296.0,4800000.0,30,26879.0, 28 WO FUNG STREET,22.2866315,114.1465675
8216,12.5,,848.0,850.0,100.0,3.0,Northeast,2019-05-09,5024.0,12500000.0,30,58330.0, DD104 LOT 4665,,
8217,34.0,,1133.0,1380.0,82.0,2.0,North,2019-05-18,24.0,34000000.0,30,158659.0,,22.2793278,
8218,41.0,,1577.0,2022.0,78.0,4.0,Southwest,2019-05-20,1624.0,41000000.0,30,191324.0, 18 HOI TING ROAD,22.315461300000003,114.1657855
8219,19.0,,580.0,794.0,73.0,2.0,,2019-05-13,190.0,19000000.0,30,88662.0, 38 HAVEN STREET,22.278164399999998,114.1864803
8220,9.02,,314.0,,,1.0,,2019-05-19,95.0,9020000.0,30,46664.0, 8-12 SOUTH LANE,22.285555300000002,114.1341982
8221,4.5,,484.0,633.0,76.0,,,2019-05-19,1152.0,4500000.0,30,25199.0, 2 KING SAN PATH,22.4030582,113.981258
